"Table 8. Tobacco Product Use in the Past Month among Individuals Aged 12 or Older, by State and Substate Region: Percentages, Annual Averages Based on 2014, 2015, and 2016 NSDUHs",,,,,,
"NOTE: Tobacco Products include cigarettes, smokeless tobacco (i.e., snuff, dip, chewing tobacco or ""snus""), cigars, or pipe tobacco.",,,,,,
"NOTE: For substate region definitions, see the ""2014-2016 National Survey on Drug Use and Health Substate Region Definitions"" at https://www.samhsa.gov/data/.",,,,,,
"NOTE: The substate, state, and census region estimates along with the 95 percent confidence (credible) intervals are based on a survey-weighted hierarchical Bayes estimation approach and are generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,
"NOTE: The column labeled ""Map Group"" can be used to distinguish substate regions included in the maps from other substate regions. In the ""Map Group"" column, a ""1"" represents the national estimate, a ""2"" represents the census region estimates, a ""3"" represents the state-level estimates, a ""4"" represents the substate/aggregate region-level estimates included in the maps, and a ""5"" represents the other substate/aggregate region-level estimates that are not included in the maps.",,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2014, 2015, and 2016.",,,,,,
Order,State,Substate Region,"Small Area Estimate",95% CI (Lower),95% CI (Upper),"Map Group"
53,California,Region 15R (Fresno),19.33%,16.59%,22.40%,4
54,California,Region 16R (San Diego),18.17%,16.10%,20.45%,4
55,California,Region 17R,21.46%,18.90%,24.26%,4
56,California,Region 18R (San Bernardino),19.86%,17.45%,22.52%,4
57,California,Region 20R,20.12%,17.28%,23.29%,4
58,California,Region 21R,18.78%,15.97%,21.96%,4
59,Colorado,Colorado,22.34%,20.57%,24.23%,3
60,Colorado,Region 1,22.11%,19.21%,25.31%,4
61,Colorado,Region 2,23.89%,20.25%,27.96%,4
62,Colorado,Region 3,22.02%,19.24%,25.07%,4
63,Colorado,Region 4,26.96%,22.96%,31.37%,4
64,Colorado,Region 5,22.49%,19.17%,26.20%,4
65,Colorado,Region 6,19.82%,17.15%,22.79%,4
66,Colorado,Region 7,23.10%,19.93%,26.61%,4
67,Connecticut,Connecticut,22.19%,20.34%,24.16%,3
68,Connecticut,Eastern,26.99%,23.28%,31.05%,4
69,Connecticut,North Central,22.43%,19.70%,25.41%,4
70,Connecticut,Northwestern,21.87%,18.83%,25.25%,4
71,Connecticut,South Central,22.80%,19.75%,26.17%,4
72,Connecticut,Southwest,18.36%,15.57%,21.52%,4
73,Delaware,Delaware,24.18%,22.27%,26.18%,3
74,Delaware,Kent,25.91%,22.62%,29.49%,4
75,Delaware,New Castle (excluding Wilmington City),21.71%,19.48%,24.12%,4
76,Delaware,Sussex,26.89%,23.42%,30.68%,4
77,Delaware,Wilmington City,28.37%,24.14%,33.02%,4
78,District of Columbia,District of Columbia,23.69%,21.75%,25.74%,3
79,District of Columbia,Ward 1,22.24%,18.59%,26.38%,4
80,District of Columbia,Ward 2,22.85%,19.44%,26.66%,4
81,District of Columbia,Ward 3,19.00%,15.99%,22.43%,4
82,District of Columbia,Ward 4,20.94%,17.61%,24.72%,4
83,District of Columbia,Ward 5,25.77%,22.07%,29.85%,4
84,District of Columbia,Ward 6,20.73%,17.63%,24.21%,4
85,District of Columbia,Ward 7,27.86%,24.01%,32.07%,4
86,District of Columbia,Ward 8,31.20%,27.23%,35.47%,4
87,Florida,Florida,21.70%,20.64%,22.81%,3
88,Florida,Broward (Circuit 17),18.75%,16.32%,21.45%,4
89,Florida,Central I,19.83%,18.03%,21.77%,5
90,Florida,Circuit 9,17.73%,15.65%,20.03%,4
91,Florida,Circuit 18,22.93%,20.08%,26.07%,4
92,Florida,Central II,23.40%,21.86%,25.02%,5
93,Florida,Circuit 6,25.64%,22.66%,28.86%,4
94,Florida,Circuit 10,26.35%,23.03%,29.96%,4
95,Florida,Circuit 12,21.09%,18.15%,24.36%,4
96,Florida,Circuit 13 (Hillsborough),23.40%,20.72%,26.32%,4
97,Florida,Circuit 20,20.50%,17.56%,23.80%,4
98,Florida,Northeast,24.96%,23.06%,26.97%,5
99,Florida,Circuit 4,24.51%,21.44%,27.85%,4
100,Florida,Circuit 5,24.80%,21.59%,28.32%,4
101,Florida,Circuit 7,24.58%,21.35%,28.12%,4
102,Florida,"Circuit 8 plus Columbia, Dixie, Hamilton, Lafayette, and Suwannee",26.90%,23.11%,31.06%,4
103,Florida,Northwest,25.36%,23.20%,27.64%,5
104,Florida,Circuit 1,23.73%,20.67%,27.08%,4
105,Florida,Circuit 2 plus Madison and Taylor,24.95%,21.76%,28.45%,4
106,Florida,Circuit 14,29.84%,25.77%,34.26%,4
107,Florida,South (Circuits 11 and 16),15.65%,13.75%,17.77%,4
108,Florida,Southeast,21.58%,19.38%,23.96%,5
109,Florida,Circuit 15 (Palm Beach),20.34%,17.66%,23.32%,4
110,Florida,Circuit 19,24.30%,21.06%,27.86%,4
111,Georgia,Georgia,25.37%,23.87%,26.94%,3
112,Georgia,Region 1,24.54%,22.19%,27.06%,4
113,Georgia,Region 2,27.12%,24.12%,30.35%,4
114,Georgia,Region 3,21.42%,19.17%,23.85%,4
115,Georgia,Region 4,31.48%,27.50%,35.75%,4
116,Georgia,Region 5,30.02%,26.52%,33.76%,4
117,Georgia,Region 6,27.30%,24.16%,30.69%,4
118,Hawaii,Hawaii,19.10%,17.36%,20.96%,3
119,Hawaii,Hawaii Island,21.14%,17.91%,24.76%,4
120,Hawaii,Honolulu,18.29%,16.36%,20.39%,4
121,Hawaii,Kauai,21.41%,17.81%,25.51%,4
122,Hawaii,Maui,20.73%,17.43%,24.46%,4
123,Idaho,Idaho,21.82%,20.14%,23.60%,3
124,Idaho,Region 1,25.20%,21.70%,29.06%,4
125,Idaho,Region 2,23.64%,19.94%,27.79%,4
126,Idaho,Region 3,21.87%,18.99%,25.05%,4
127,Idaho,Region 4,21.76%,19.26%,24.48%,4
128,Idaho,Region 5,22.76%,19.57%,26.31%,4
129,Idaho,Region 6,21.09%,17.67%,24.97%,4
130,Idaho,Region 7,17.63%,14.96%,20.68%,4
131,Illinois,Illinois,23.76%,22.56%,25.00%,3
132,Illinois,Region 1 (Cook),21.03%,19.53%,22.62%,5
133,Illinois,Region 1.1 (Far North Side),20.70%,17.51%,24.30%,4
134,Illinois,Region 1.2 (Northwest Side),21.14%,17.72%,25.04%,4
135,Illinois,Region 1.3 (North Central Side),20.97%,17.67%,24.71%,4
136,Illinois,Region 1.4 (West Side),24.47%,20.78%,28.58%,4
137,Illinois,Region 1.5 (South Side),24.56%,21.10%,28.38%,4
138,Illinois,Region 1.6 (Southwest Side),23.93%,20.52%,27.71%,4
139,Illinois,Region 1.7 (Suburban Cook),19.11%,17.05%,21.34%,4
140,Illinois,Region 2,21.28%,19.71%,22.93%,5
141,Illinois,Region 2a (DuPage),16.76%,14.41%,19.39%,4
142,Illinois,Region 2b,20.47%,18.41%,22.70%,4
143,Illinois,Region 2c (Winnebago),28.71%,24.85%,32.92%,4
144,Illinois,Region 2d,27.14%,23.82%,30.73%,4
145,Illinois,Region 3,30.33%,27.65%,33.16%,5
146,Illinois,Region 3a (Champaign),25.25%,21.78%,29.07%,4
147,Illinois,Region 3b,31.18%,28.16%,34.36%,4
148,Illinois,Region 4,30.72%,27.77%,33.83%,5
149,Illinois,Region 4a (Sangamon),27.87%,23.94%,32.17%,4
150,Illinois,Region 4b,31.53%,28.10%,35.18%,4
151,Illinois,Region 5,30.91%,28.13%,33.83%,5
152,Illinois,Region 5a,27.09%,23.47%,31.06%,4
153,Illinois,Region 5b,33.97%,30.32%,37.82%,4
154,Indiana,Indiana,29.80%,27.85%,31.82%,3
155,Indiana,Central,23.97%,21.29%,26.87%,4
156,Indiana,East,33.56%,29.17%,38.26%,4
157,Indiana,North Central,31.61%,27.84%,35.63%,4
158,Indiana,Northeast,28.50%,24.91%,32.39%,4
159,Indiana,Northwest,30.06%,26.02%,34.44%,4
160,Indiana,Southeast,33.72%,29.46%,38.26%,4
161,Indiana,Southwest,31.66%,27.50%,36.13%,4
162,Indiana,West,34.30%,30.03%,38.84%,4
163,Iowa,Iowa,27.50%,25.60%,29.48%,3
164,Iowa,Central,25.42%,22.15%,28.99%,4
165,Iowa,North Central,26.38%,22.82%,30.27%,4
166,Iowa,Northeast,27.25%,24.26%,30.46%,4
167,Iowa,Northwest,29.18%,25.40%,33.27%,4
168,Iowa,Southeast,28.09%,24.96%,31.44%,4
169,Iowa,Southwest,29.28%,25.41%,33.47%,4
170,Kansas,Kansas,24.97%,23.13%,26.91%,3
171,Kansas,Northeast,21.77%,19.56%,24.15%,4
172,Kansas,Northwest and North Central,29.54%,25.13%,34.36%,4
173,Kansas,South Central,27.60%,24.70%,30.69%,4
174,Kansas,Southeast,30.65%,26.18%,35.52%,4
175,Kansas,Southwest,25.97%,22.02%,30.35%,4
176,Kentucky,Kentucky,35.28%,33.21%,37.41%,3
177,Kentucky,"Adanta, Cumberland River, and Lifeskills",38.74%,34.83%,42.81%,4
178,Kentucky,"Bluegrass, Comprehend, and North Key",31.73%,28.58%,35.05%,4
179,Kentucky,Centerstone,31.89%,28.60%,35.37%,4
180,Kentucky,Communicare and River Valley,38.76%,34.16%,43.58%,4
181,Kentucky,Four Rivers and Pennyroyal,36.24%,31.88%,40.83%,4
182,Kentucky,"Kentucky River, Mountain, and Pathways",41.93%,37.48%,46.52%,4
183,Louisiana,Louisiana,30.67%,28.71%,32.70%,3
184,Louisiana,Regions 1 and 10,26.76%,23.76%,29.99%,5
185,Louisiana,Region 1,27.88%,23.91%,32.22%,4
186,Louisiana,Region 10 (Jefferson),25.54%,21.97%,29.48%,4
187,Louisiana,Regions 2 and 9,29.95%,26.99%,33.09%,4
188,Louisiana,Region 3,31.41%,27.55%,35.54%,4
189,Louisiana,"Regions 4, 5, and 6",33.93%,30.47%,37.57%,4
190,Louisiana,Regions 7 and 8,30.94%,27.51%,34.60%,4
191,Maine,Maine,24.30%,22.35%,26.35%,3
192,Maine,Aroostook/Downeast,27.14%,24.03%,30.50%,5
193,Maine,Aroostook,29.70%,25.53%,34.24%,4
194,Maine,Downeast,25.07%,21.23%,29.35%,4
195,Maine,Central,27.04%,23.35%,31.09%,4
196,Maine,Cumberland,21.07%,18.26%,24.18%,4
197,Maine,Midcoast,22.45%,19.13%,26.16%,4
198,Maine,Penquis,25.67%,21.99%,29.74%,4
199,Maine,Western,26.74%,23.23%,30.56%,4
200,Maine,York,22.11%,18.92%,25.66%,4
201,Maryland,Maryland,22.20%,20.48%,24.02%,3
202,Maryland,Anne Arundel,22.79%,19.33%,26.66%,4
203,Maryland,Baltimore City,31.33%,27.52%,35.41%,4
204,Maryland,Baltimore County,23.08%,19.66%,26.89%,4
205,Maryland,Montgomery,14.40%,12.08%,17.07%,4
206,Maryland,North Central,19.22%,16.27%,22.56%,4
207,Maryland,Northeast,23.32%,19.68%,27.40%,4
208,Maryland,Prince George's,20.52%,17.47%,23.95%,4
209,Maryland,South,24.29%,20.86%,28.10%,4
210,Maryland,West,27.02%,23.39%,30.98%,4
211,Massachusetts,Massachusetts,21.15%,19.39%,23.02%,3
212,Massachusetts,Boston,21.64%,18.31%,25.40%,4
213,Massachusetts,Central,22.70%,19.63%,26.09%,4
214,Massachusetts,Metrowest,17.48%,14.96%,20.33%,4
215,Massachusetts,Northeast,19.63%,16.96%,22.62%,4
216,Massachusetts,Southeast,23.95%,20.80%,27.42%,4
217,Massachusetts,Western,24.00%,20.57%,27.80%,4
218,Michigan,Michigan,27.38%,26.11%,28.69%,3
219,Michigan,Region 1,32.24%,28.26%,36.50%,4
220,Michigan,Region 2,29.15%,25.39%,33.21%,4
221,Michigan,Region 3,25.48%,22.95%,28.17%,4
222,Michigan,Region 4,30.30%,27.19%,33.61%,4
223,Michigan,Region 5,29.59%,27.20%,32.10%,4
224,Michigan,Region 6,23.47%,20.68%,26.52%,4
225,Michigan,Region 7,27.44%,24.83%,30.22%,4
226,Michigan,Region 8,21.18%,18.69%,23.90%,4
227,Michigan,Region 9,28.61%,25.47%,31.96%,4
228,Michigan,Region 10,32.27%,28.84%,35.90%,4
229,Minnesota,Minnesota,24.64%,22.79%,26.59%,3
230,Minnesota,Regions 1 and 2,29.48%,25.91%,33.31%,5
231,Minnesota,Region 1,28.91%,24.58%,33.66%,4
232,Minnesota,Region 2,29.82%,25.40%,34.65%,4
233,Minnesota,Regions 3 and 4,28.71%,25.58%,32.07%,5
234,Minnesota,Region 3,29.12%,24.62%,34.06%,4
235,Minnesota,Region 4,28.50%,24.87%,32.42%,4
236,Minnesota,Regions 5 and 6,26.46%,23.50%,29.66%,5
237,Minnesota,Region 5,27.04%,23.17%,31.30%,4
238,Minnesota,Region 6,25.87%,22.09%,30.06%,4
239,Minnesota,Region 7,21.87%,19.86%,24.04%,5
240,Minnesota,Region 7A (Hennepin),20.74%,18.08%,23.68%,4
241,Minnesota,Region 7B (Ramsey),23.70%,20.34%,27.43%,4
242,Minnesota,Region 7C,22.21%,19.39%,25.30%,4
243,Mississippi,Mississippi,31.42%,29.44%,33.46%,3
244,Mississippi,Region 1,32.98%,29.60%,36.54%,4
245,Mississippi,Region 2,30.98%,27.12%,35.14%,4
246,Mississippi,Region 3,32.64%,28.87%,36.64%,4
247,Mississippi,Region 4,27.21%,24.01%,30.65%,4
248,Mississippi,Region 5,34.43%,29.80%,39.38%,4
249,Mississippi,Region 6,33.30%,29.42%,37.43%,4
250,Mississippi,Region 7,31.02%,27.29%,35.01%,4
251,Missouri,Missouri,29.89%,27.89%,31.97%,3
252,Missouri,Central,30.64%,27.02%,34.52%,4
253,Missouri,Eastern,27.99%,25.30%,30.85%,5
254,Missouri,Eastern (St. Louis City and County),27.40%,24.08%,30.99%,4
255,Missouri,Eastern (excluding St. Louis),28.99%,25.45%,32.80%,4
256,Missouri,Northwest,29.55%,26.65%,32.64%,5
257,Missouri,Northwest (Jackson),28.54%,24.96%,32.40%,4
258,Missouri,Northwest (excluding Jackson),30.41%,26.51%,34.61%,4
259,Missouri,Southeast,34.67%,30.64%,38.93%,4
260,Missouri,Southwest,30.38%,26.73%,34.30%,4
261,Montana,Montana,28.51%,26.46%,30.64%,3
262,Montana,Region 1,33.65%,29.08%,38.55%,4
263,Montana,Region 2,29.72%,25.99%,33.74%,4
264,Montana,Region 3,28.00%,24.81%,31.43%,4
265,Montana,Region 4,27.45%,24.25%,30.91%,4
266,Montana,Region 5,27.87%,24.87%,31.08%,4
267,Nebraska,Nebraska,27.48%,25.57%,29.47%,3
268,Nebraska,Regions 1 and 2,30.80%,27.18%,34.68%,5
269,Nebraska,Region 1,30.34%,25.81%,35.28%,4
270,Nebraska,Region 2,31.21%,26.67%,36.14%,4
271,Nebraska,Region 3,28.48%,24.88%,32.37%,4
272,Nebraska,Region 4,28.40%,24.45%,32.72%,4
273,Nebraska,Region 5,27.83%,24.85%,31.02%,4
274,Nebraska,Region 6,25.93%,23.29%,28.75%,4
275,Nevada,Nevada,24.16%,22.13%,26.31%,3
276,Nevada,Clark - Region 1,22.98%,20.71%,25.42%,4
277,Nevada,Region 3,29.54%,25.75%,33.63%,5
278,Nevada,Capital District,28.08%,23.50%,33.16%,4
279,Nevada,Rural/Frontier,30.86%,26.07%,36.09%,4
280,Nevada,Washoe - Region 2,25.36%,21.98%,29.07%,4
281,New Hampshire,New Hampshire,24.21%,22.35%,26.17%,3
282,New Hampshire,Central,26.12%,23.50%,28.92%,4
283,New Hampshire,Central 1,26.60%,23.16%,30.35%,5
284,New Hampshire,Central 2,25.65%,22.40%,29.20%,5
285,New Hampshire,Northern,25.89%,22.33%,29.80%,4
286,New Hampshire,Southern,22.91%,20.73%,25.26%,4
287,New Hampshire,Southern 1 (Rockingham),21.37%,18.36%,24.73%,5
288,New Hampshire,Southern 2,23.88%,21.28%,26.68%,5
289,New Jersey,New Jersey,20.57%,19.06%,22.16%,3
290,New Jersey,Central,22.16%,19.59%,24.96%,4
291,New Jersey,Metropolitan,18.65%,16.35%,21.21%,4
292,New Jersey,Northern,18.54%,16.47%,20.81%,4
293,New Jersey,Southern,24.18%,21.45%,27.13%,4
294,New Mexico,New Mexico,25.34%,23.41%,27.37%,3
295,New Mexico,Region 1,26.34%,23.06%,29.90%,4
296,New Mexico,Region 2,21.91%,18.72%,25.47%,4
297,New Mexico,Region 3 (Bernalillo),25.25%,22.41%,28.33%,4
298,New Mexico,Region 4,28.23%,24.52%,32.26%,4
299,New Mexico,Region 5,25.12%,22.28%,28.20%,5
300,New Mexico,Region 5a,27.01%,23.08%,31.32%,4
301,New Mexico,Region 5b (Dona Ana),23.42%,20.08%,27.12%,4
302,New York,New York,22.39%,21.29%,23.52%,3
303,New York,Region 1: Long Island,18.81%,16.70%,21.11%,4
304,New York,Region 2: New York City,19.68%,18.29%,21.16%,5
305,New York,Region 2A: Bronx,19.85%,17.31%,22.68%,4
306,New York,Region 2B: Kings,20.23%,17.84%,22.86%,4
307,New York,Region 2C: New York,21.05%,18.31%,24.08%,4
308,New York,Region 2D: Queens,17.67%,15.34%,20.27%,4
309,New York,Region 2E: Richmond,21.14%,18.04%,24.62%,4
310,New York,Region 3: Mid-Hudson,20.37%,18.10%,22.86%,4
311,New York,Region 4: Capital Region,28.37%,25.08%,31.90%,4
312,New York,Region 5: Mohawk Valley,32.77%,28.53%,37.30%,4
313,New York,Region 6: North Country,32.55%,28.22%,37.20%,4
314,New York,Region 7: Tug Hill Seaway,31.95%,28.12%,36.04%,4
315,New York,Region 8: Central,29.87%,26.61%,33.35%,4
316,New York,Region 9: Southern Tier,29.08%,25.47%,32.98%,4
317,New York,Region 10: Finger Lakes,24.72%,21.86%,27.81%,4
318,New York,Region 11: Western,29.03%,26.34%,31.87%,4
319,North Carolina,North Carolina,25.84%,24.25%,27.50%,3
320,North Carolina,Alliance Behavioral Healthcare 1,24.59%,21.39%,28.10%,4
321,North Carolina,Alliance Behavioral Healthcare 2,18.00%,15.29%,21.08%,4
322,North Carolina,Cardinal Innovations Healthcare Solutions 1,25.54%,22.06%,29.35%,4
323,North Carolina,Cardinal Innovations Healthcare Solutions 2,25.54%,22.12%,29.28%,4
324,North Carolina,Cardinal Innovations Healthcare Solutions 3,22.44%,19.44%,25.77%,4
325,North Carolina,CenterPoint Human Services,26.71%,23.11%,30.64%,4
326,North Carolina,Eastpointe,29.53%,25.84%,33.50%,4
327,North Carolina,Partners Behavioral Health Management,28.49%,24.91%,32.36%,4
328,North Carolina,Sandhills Center 1,30.12%,25.97%,34.62%,4
329,North Carolina,Sandhills Center 2,24.50%,20.91%,28.49%,4
330,North Carolina,Smoky Mountain Center 1,30.22%,26.32%,34.43%,4
331,North Carolina,Smoky Mountain Center 2,25.21%,21.60%,29.21%,4
332,North Carolina,Trillium Healthcare Resources 1,27.64%,24.17%,31.41%,4
333,North Carolina,Trillium Healthcare Resources 2,28.19%,24.20%,32.55%,4
334,North Dakota,North Dakota,29.85%,27.98%,31.79%,3
335,North Dakota,Badlands and West Central,29.43%,26.71%,32.30%,5
336,North Dakota,Badlands,30.07%,25.75%,34.77%,4
337,North Dakota,West Central,29.24%,26.20%,32.49%,4
338,North Dakota,Lake Region,32.57%,28.17%,37.31%,4
339,North Dakota,North Central,31.72%,28.03%,35.67%,4
340,North Dakota,Northeast,31.63%,28.07%,35.41%,4
341,North Dakota,Northwest,32.27%,27.56%,37.37%,4
342,North Dakota,South Central,30.33%,26.06%,34.96%,4
343,North Dakota,Southeast,27.32%,24.53%,30.30%,4
344,Ohio,Ohio,29.86%,28.54%,31.22%,3
345,Ohio,"Boards 2, 46, 55, and 68",33.26%,29.14%,37.64%,4
346,Ohio,"Boards 3, 52, and 85",25.36%,21.77%,29.31%,4
347,Ohio,Boards 4 and 78,34.26%,30.05%,38.73%,4
348,Ohio,Boards 5 and 60,35.01%,30.86%,39.39%,4
349,Ohio,"Boards 7, 15, 41, 79, and 84",34.35%,30.43%,38.50%,4
350,Ohio,"Boards 8, 13, and 83",26.79%,23.30%,30.58%,4
351,Ohio,Board 9 (Butler),28.89%,25.20%,32.88%,4
352,Ohio,Board 12,28.37%,24.51%,32.58%,4
353,Ohio,Boards 18 and 47,28.78%,25.97%,31.76%,4
354,Ohio,"Boards 20, 32, 54, and 69",33.51%,29.68%,37.57%,4
355,Ohio,"Boards 21, 39, 51, 70, and 80",29.45%,25.85%,33.33%,4
356,Ohio,"Boards 22, 74, and 87",34.22%,30.30%,38.37%,4
357,Ohio,Boards 23 and 45,30.30%,26.59%,34.28%,4
358,Ohio,Board 25 (Franklin),26.81%,24.01%,29.81%,4
359,Ohio,"Boards 27, 71, and 73",35.93%,31.71%,40.38%,4
360,Ohio,"Boards 28, 43, and 67",27.67%,24.27%,31.34%,4
361,Ohio,Board 31 (Hamilton),28.24%,25.18%,31.53%,4
362,Ohio,Board 48 (Lucas),32.22%,28.38%,36.31%,4
363,Ohio,Boards 50 and 76,31.40%,27.91%,35.12%,4
364,Ohio,Board 57 (Montgomery),28.97%,25.34%,32.89%,4
365,Ohio,Board 77 (Summit),25.39%,22.07%,29.03%,4
366,Oklahoma,Oklahoma,31.54%,29.54%,33.61%,3
367,Oklahoma,Central,29.45%,25.69%,33.52%,4
368,Oklahoma,East Central,34.93%,30.85%,39.25%,4
369,Oklahoma,Northeast,31.45%,27.61%,35.55%,4
370,Oklahoma,Northwest and Southwest,37.54%,33.55%,41.69%,4
371,Oklahoma,Oklahoma County,27.46%,24.18%,31.01%,4
372,Oklahoma,Southeast,34.81%,30.95%,38.89%,4
373,Oklahoma,Tulsa County,27.70%,24.28%,31.41%,4
374,Oregon,Oregon,22.66%,20.84%,24.59%,3
375,Oregon,Region 1 (Multnomah),21.55%,18.72%,24.67%,4
376,Oregon,Region 2,18.36%,15.86%,21.14%,4
377,Oregon,Region 3,24.45%,21.63%,27.51%,4
378,Oregon,Region 4,25.75%,22.30%,29.53%,4
379,Oregon,Region 5 (Central),21.93%,18.12%,26.29%,4
380,Oregon,Region 6 (Eastern),27.35%,23.38%,31.71%,4
381,Pennsylvania,Pennsylvania,27.11%,25.82%,28.43%,3
382,Pennsylvania,Region 1 (Allegheny),26.49%,23.48%,29.73%,4
383,Pennsylvania,"Regions 3, 8, 9, and 51",31.16%,27.74%,34.80%,4
384,Pennsylvania,"Regions 4, 11, 37, and 49",28.05%,24.64%,31.73%,4
385,Pennsylvania,"Regions 5, 18, 23, 24, and 46",27.08%,23.85%,30.56%,4
386,Pennsylvania,"Regions 6, 12, 16, 31, 35, 45, and 47",31.40%,27.86%,35.16%,4
387,Pennsylvania,"Regions 7, 13, 20, and 33",20.01%,17.99%,22.19%,4
388,Pennsylvania,"Regions 10, 15, 27, 32, 43, and 44",33.08%,29.12%,37.29%,4
389,Pennsylvania,Regions 17 and 21,30.66%,26.58%,35.06%,4
390,Pennsylvania,"Regions 19, 26, 28, and 42",27.91%,25.10%,30.92%,4
391,Pennsylvania,"Regions 22, 38, 40, 41, and 48",30.24%,26.83%,33.89%,4
392,Pennsylvania,Regions 29 and 34,25.39%,21.93%,29.20%,4
393,Pennsylvania,Regions 30 and 50,31.10%,27.45%,35.01%,4
394,Pennsylvania,Region 36 (Philadelphia),28.60%,25.61%,31.78%,4
395,Rhode Island,Rhode Island,23.82%,21.86%,25.91%,3
