"Notes"	"County"	"County Code"	Avg Daily Sunlight (KJ/m²)	# of Observations for Daily Sunlight	Min Daily Sunlight	Max Daily Sunlight
	"Shelby County, AL"	"01117"	16750.94	144636	1995.30	33554.90
	"Sumter County, AL"	"01119"	17228.52	180795	2017.20	35387.10
	"Talladega County, AL"	"01121"	16639.83	180795	1984.90	33136.40
	"Tallapoosa County, AL"	"01123"	17014.31	132583	2202.40	33265.80
	"Tuscaloosa County, AL"	"01125"	16859.87	277219	1823.70	35229.10
	"Walker County, AL"	"01127"	16598.78	144636	1781.30	34349.60
	"Washington County, AL"	"01129"	17461.07	241060	1995.00	33791.90
	"Wilcox County, AL"	"01131"	17309.28	144636	2182.40	34492.30
	"Winston County, AL"	"01133"	16462.53	108477	1892.80	33016.50
	"Apache County, AZ"	"04001"	18657.88	2386494	2843.10	31643.30
	"Cochise County, AZ"	"04003"	20240.65	1301724	3128.50	31999.40
	"Coconino County, AZ"	"04005"	18883.02	3700271	2685.10	31968.10
	"Gila County, AZ"	"04007"	19891.99	964240	2845.30	32563.70
	"Graham County, AZ"	"04009"	20165.50	855763	3279.20	32304.00
	"Greenlee County, AZ"	"04011"	19866.10	397749	3188.20	32055.00
	"La Paz County, AZ"	"04012"	20493.13	831657	2840.90	32213.20
	"Maricopa County, AZ"	"04013"	20428.94	1747685	2651.80	32453.90
	"Mohave County, AZ"	"04015"	19423.92	2567289	2265.00	32290.50
	"Navajo County, AZ"	"04017"	18856.02	1928480	2872.00	32211.20
	"Pima County, AZ"	"04019"	20460.15	1723579	3115.80	32301.30
	"Pinal County, AZ"	"04021"	20279.64	1084770	2692.40	32193.90
	"Santa Cruz County, AZ"	"04023"	20192.74	204901	3231.90	31954.00
	"Yavapai County, AZ"	"04025"	19754.84	1663314	2805.20	32663.80
	"Yuma County, AZ"	"04027"	20443.62	1024505	2650.60	32034.10
	"Arkansas County, AR"	"05001"	16795.99	241060	1886.10	34166.70
	"Ashley County, AR"	"05003"	16973.11	168742	1778.30	34326.30
	"Baxter County, AR"	"05005"	16232.29	120530	1836.20	30189.80
	"Benton County, AR"	"05007"	16196.16	156689	1526.80	30053.70
	"Boone County, AR"	"05009"	16162.88	108477	1594.30	29708.00
	"Bradley County, AR"	"05011"	16928.46	144636	1881.90	33273.10
	"Calhoun County, AR"	"05013"	16908.51	96424	1880.00	32790.20
	"Carroll County, AR"	"05015"	16149.25	156689	1582.10	29520.50
	"Chicot County, AR"	"05017"	17064.76	156689	1599.40	34767.30
	"Clark County, AR"	"05019"	16640.66	168742	1806.70	31701.30
	"Clay County, AR"	"05021"	16141.50	132583	1699.20	32032.40
	"Cleburne County, AR"	"05023"	16272.75	132583	1977.00	30613.30
	"Cleveland County, AR"	"05025"	16798.57	120530	2022.70	33085.40
	"Columbia County, AR"	"05027"	16994.31	156689	1916.50	32375.70
	"Conway County, AR"	"05029"	16303.80	108477	1835.30	30645.80
	"Craighead County, AR"	"05031"	16306.32	132583	1706.30	31993.10
	"Crawford County, AR"	"05033"	16320.97	120530	1605.70	30710.80
	"Crittenden County, AR"	"05035"	16413.53	144636	1650.50	33434.40
	"Cross County, AR"	"05037"	16482.93	144636	1749.70	33044.40
	"Dallas County, AR"	"05039"	16765.77	108477	1905.10	32420.90
	"Desha County, AR"	"05041"	16932.02	180795	1527.00	34811.60
	"Drew County, AR"	"05043"	16915.15	144636	2011.00	34301.90
	"Faulkner County, AR"	"05045"	16377.75	132583	1966.60	31303.90
	"Franklin County, AR"	"05047"	16350.74	108477	1671.00	30794.80
	"Fulton County, AR"	"05049"	16205.99	108477	1858.40	30127.80
	"Garland County, AR"	"05051"	16403.04	132583	1822.90	31190.30
	"Grant County, AR"	"05053"	16656.02	108477	1987.40	32177.90
	"Greene County, AR"	"05055"	16246.64	120530	1726.20	32147.40
	"Hempstead County, AR"	"05057"	16685.90	144636	1855.70	31732.50
	"Hot Spring County, AR"	"05059"	16568.21	144636	1942.60	31607.10
	"Howard County, AR"	"05061"	16446.59	108477	1821.50	31398.80
	"Independence County, AR"	"05063"	16330.06	144636	1833.40	31616.90
	"Izard County, AR"	"05065"	16222.68	132583	1836.90	30245.50
	"Jackson County, AR"	"05067"	16462.47	120530	1784.20	32517.80
	"Jefferson County, AR"	"05069"	16702.71	168742	1913.40	33505.10
	"Johnson County, AR"	"05071"	16294.07	156689	1710.30	30498.30
	"Lafayette County, AR"	"05073"	16940.63	120530	1851.60	32297.40
	"Lawrence County, AR"	"05075"	16304.83	120530	1781.80	31649.10
	"Lee County, AR"	"05077"	16566.51	96424	1644.10	33589.30
	"Lincoln County, AR"	"05079"	16804.55	144636	1990.80	33998.80
	"Little River County, AR"	"05081"	16716.84	84371	1850.60	31520.80
	"Logan County, AR"	"05083"	16385.30	144636	1738.10	30591.30
	"Lonoke County, AR"	"05085"	16617.26	156689	1846.90	33058.10
	"Madison County, AR"	"05087"	16140.72	180795	1554.10	29353.40
	"Marion County, AR"	"05089"	16205.13	108477	1751.90	29898.70
	"Miller County, AR"	"05091"	16885.04	120530	1850.10	32137.70
	"Mississippi County, AR"	"05093"	16243.83	180795	1657.20	32478.30
	"Monroe County, AR"	"05095"	16634.20	108477	1788.80	33834.90
	"Montgomery County, AR"	"05097"	16350.67	144636	1752.10	30357.80
	"Nevada County, AR"	"05099"	16810.39	120530	1953.40	31889.10
	"Newton County, AR"	"05101"	16203.37	156689	1731.20	29331.60
	"Ouachita County, AR"	"05103"	16859.07	168742	1925.80	32413.30
	"Perry County, AR"	"05105"	16425.38	132583	1777.80	30580.20
	"Phillips County, AR"	"05107"	16711.87	132583	1669.10	34180.40
	"Pike County, AR"	"05109"	16489.43	120530	1785.40	30911.90
	"Poinsett County, AR"	"05111"	16410.84	144636	1721.20	32288.30
	"Polk County, AR"	"05113"	16190.42	204901	1787.80	29860.80
	"Pope County, AR"	"05115"	16266.40	180795	1673.20	30675.80
	"Prairie County, AR"	"05117"	16622.08	132583	1805.60	33161.80
	"Pulaski County, AR"	"05119"	16550.30	120530	1855.30	32467.00
	"Randolph County, AR"	"05121"	16182.05	132583	1764.50	31790.20
	"St. Francis County, AR"	"05123"	16539.47	132583	1629.00	33336.90
	"Saline County, AR"	"05125"	16503.48	144636	1850.00	31944.90
	"Scott County, AR"	"05127"	16395.35	144636	1826.40	30295.40
	"Searcy County, AR"	"05129"	16201.70	156689	1792.30	29868.80
	"Sebastian County, AR"	"05131"	16465.06	84371	1625.20	30695.00
	"Sevier County, AR"	"05133"	16552.52	132583	1733.80	31393.00
	"Sharp County, AR"	"05135"	16248.78	120530	1804.70	31014.00
	"Stone County, AR"	"05137"	16236.48	84371	1843.90	30026.80
	"Union County, AR"	"05139"	16986.02	216954	1759.40	33597.80
	"Van Buren County, AR"	"05141"	16275.59	120530	1882.30	30665.80
	"Washington County, AR"	"05143"	16165.61	192848	1513.60	29506.40
	"White County, AR"	"05145"	16424.91	216954	1847.10	32530.90
	"Woodruff County, AR"	"05147"	16505.67	144636	1784.20	33090.60
	"Yell County, AR"	"05149"	16386.41	204901	1694.30	30321.00
	"Alameda County, CA"	"06001"	19159.13	132583	1754.70	32770.40
	"Alpine County, CA"	"06003"	18911.65	156689	2926.10	31563.00
	"Amador County, CA"	"06005"	18777.30	96424	1812.10	32500.00
	"Butte County, CA"	"06007"	18373.40	373643	1478.90	33626.40
	"Calaveras County, CA"	"06009"	18894.23	216954	1695.90	32580.40
	"Colusa County, CA"	"06011"	18724.46	253113	1611.00	33436.90
	"Contra Costa County, CA"	"06013"	18949.07	144636	1663.80	32367.60
	"Del Norte County, CA"	"06015"	17308.91	229007	1404.10	35436.50
	"El Dorado County, CA"	"06017"	18700.46	385696	1801.70	32824.40
	"Fresno County, CA"	"06019"	19368.97	1181194	1728.20	33073.40
	"Glenn County, CA"	"06021"	18534.71	241060	1698.80	33619.50
	"Humboldt County, CA"	"06023"	17788.95	807551	1486.20	35071.40
	"Imperial County, CA"	"06025"	20774.77	843710	2457.00	32252.10
	"Inyo County, CA"	"06027"	19768.63	2181593	2290.60	32670.80
	"Kern County, CA"	"06029"	19911.45	1482519	1930.80	32786.50
	"Kings County, CA"	"06031"	19627.67	313378	1720.10	32722.50
	"Lake County, CA"	"06033"	18842.96	289272	1815.10	33210.50
	"Lassen County, CA"	"06035"	18264.21	952187	2194.20	33424.40
	"Los Angeles County, CA"	"06037"	20247.91	855763	2225.90	33053.10
	"Madera County, CA"	"06039"	19186.09	421855	1721.30	33004.60
	"Marin County, CA"	"06041"	18309.92	108477	1707.60	32041.90
	"Mariposa County, CA"	"06043"	19139.58	313378	1721.50	32736.30
	"Mendocino County, CA"	"06045"	18535.76	759339	1683.00	34488.00
	"Merced County, CA"	"06047"	19468.78	409802	1691.90	33137.70
	"Modoc County, CA"	"06049"	17762.18	1012452	1962.00	34079.90
	"Mono County, CA"	"06051"	18989.93	614703	3099.20	31248.90
	"Monterey County, CA"	"06053"	19875.90	699074	1629.30	33370.20
	"Napa County, CA"	"06055"	18878.47	132583	1746.50	32669.50
	"Nevada County, CA"	"06057"	18712.17	241060	1899.90	33340.10
	"Orange County, CA"	"06059"	20000.98	156689	2284.60	31572.80
	"Placer County, CA"	"06061"	18647.86	265166	1727.80	33094.90
	"Plumas County, CA"	"06063"	18492.75	542385	2442.70	32901.50
	"Riverside County, CA"	"06065"	20596.16	1506625	2522.90	32818.80
	"Sacramento County, CA"	"06067"	18705.22	216954	1684.60	32536.20
	"San Benito County, CA"	"06069"	19688.60	277219	1953.20	32343.20
	"San Bernardino County, CA"	"06071"	20094.62	3893119	2250.80	33039.50
	"San Diego County, CA"	"06073"	20494.52	759339	2437.60	32304.70
	"San Francisco County, CA"	"06075"	18386.00	12053	1587.80	31203.90
	"San Joaquin County, CA"	"06077"	19063.39	277219	1568.90	32999.00
	"San Luis Obispo County, CA"	"06079"	20058.51	626756	2098.90	33445.90
	"San Mateo County, CA"	"06081"	18799.18	96424	1587.80	31927.70
	"Santa Barbara County, CA"	"06083"	20497.85	494173	2278.00	32856.40
	"Santa Clara County, CA"	"06085"	19330.61	253113	1864.10	32882.80
	"Santa Cruz County, CA"	"06087"	18774.12	96424	1888.00	31804.90
	"Shasta County, CA"	"06089"	18094.83	735233	1613.00	33620.20
	"Sierra County, CA"	"06091"	18704.05	204901	2364.90	33182.70
	"Siskiyou County, CA"	"06093"	17864.41	1374042	1810.90	34946.90
	"Solano County, CA"	"06095"	18899.85	156689	1716.30	32592.90
	"Sonoma County, CA"	"06097"	18692.92	337484	1726.50	34424.10
	"Stanislaus County, CA"	"06099"	19306.44	313378	1671.50	33147.00
	"Sutter County, CA"	"06101"	18594.13	108477	1610.70	33041.70
	"Tehama County, CA"	"06103"	18230.34	650862	1664.00	33522.10
	"Trinity County, CA"	"06105"	18065.13	626756	1646.50	33418.80
	"Tulare County, CA"	"06107"	19496.77	1000399	1793.80	32785.50
	"Tuolumne County, CA"	"06109"	19114.68	458014	2004.60	33669.70
	"Ventura County, CA"	"06111"	20139.44	373643	2035.10	32208.20
	"Yolo County, CA"	"06113"	18741.92	192848	1703.60	32841.20
	"Yuba County, CA"	"06115"	18512.53	168742	1642.30	32926.60
	"Adams County, CO"	"08001"	17158.32	241060	2422.70	29583.60
	"Alamosa County, CO"	"08003"	18061.38	132583	3867.80	30460.00
	"Arapahoe County, CO"	"08005"	17301.14	229007	2568.40	29586.80
	"Archuleta County, CO"	"08007"	17866.68	265166	3421.00	31094.40
	"Baca County, CO"	"08009"	18140.45	542385	2269.50	30429.10
	"Bent County, CO"	"08011"	18072.77	301325	2569.90	30429.30
	"Boulder County, CO"	"08013"	16738.10	180795	2412.50	29058.10
	"Chaffee County, CO"	"08015"	17379.37	204901	4194.50	29029.90
	"Cheyenne County, CO"	"08017"	17547.90	325431	2613.10	30371.10
	"Clear Creek County, CO"	"08019"	16554.10	108477	3589.30	27390.30
	"Conejos County, CO"	"08021"	18322.41	241060	3819.20	29855.70
	"Costilla County, CO"	"08023"	17495.53	253113	3896.70	29704.20
	"Crowley County, CO"	"08025"	18125.47	144636	2594.00	30973.80
	"Custer County, CO"	"08027"	17446.24	168742	3215.40	29342.50
	"Delta County, CO"	"08029"	17145.10	265166	2556.50	30267.00
	"Denver County, CO"	"08031"	17102.48	12053	2912.30	28918.60
	"Dolores County, CO"	"08033"	17448.93	204901	3143.30	31064.60
	"Douglas County, CO"	"08035"	17203.79	156689	3010.30	28451.70
	"Eagle County, CO"	"08037"	16734.50	325431	3366.00	30278.20
	"Elbert County, CO"	"08039"	17483.99	301325	2990.10	30197.40
	"El Paso County, CO"	"08041"	17638.55	458014	2865.80	30441.10
	"Fremont County, CO"	"08043"	17553.09	361590	2794.10	30030.40
	"Garfield County, CO"	"08045"	17140.36	614703	2794.50	31107.80
	"Gilpin County, CO"	"08047"	16515.33	24106	3320.40	27515.30
	"Grand County, CO"	"08049"	16694.03	433908	3280.20	29464.60
	"Gunnison County, CO"	"08051"	17307.54	699074	3139.70	30616.90
	"Hinsdale County, CO"	"08053"	17278.88	229007	3845.50	30486.30
	"Huerfano County, CO"	"08055"	17686.49	337484	2887.80	29856.70
	"Jackson County, CO"	"08057"	16742.06	337484	3213.50	29878.80
	"Jefferson County, CO"	"08059"	16863.52	168742	2820.50	28978.50
	"Kiowa County, CO"	"08061"	17802.76	397749	2374.30	30550.40
	"Kit Carson County, CO"	"08063"	17279.70	530332	2356.60	29996.60
	"Lake County, CO"	"08065"	17260.10	108477	4593.30	29075.60
	"La Plata County, CO"	"08067"	18189.30	337484	3208.80	31438.70
	"Larimer County, CO"	"08069"	16388.27	566491	2342.00	29157.80
	"Las Animas County, CO"	"08071"	18178.49	903975	2621.10	30619.60
	"Lincoln County, CO"	"08073"	17683.03	590597	2624.90	30628.00
	"Logan County, CO"	"08075"	16812.79	470067	2096.90	29695.30
	"Mesa County, CO"	"08077"	17315.22	662915	2587.50	30406.00
	"Mineral County, CO"	"08079"	17502.55	192848	4681.70	29428.70
	"Moffat County, CO"	"08081"	17241.66	976293	2760.40	30945.70
	"Montezuma County, CO"	"08083"	18145.60	385696	3093.20	31479.60
	"Montrose County, CO"	"08085"	17306.47	433908	2808.50	30412.90
	"Morgan County, CO"	"08087"	17183.43	241060	2250.00	30207.90
	"Otero County, CO"	"08089"	18171.06	253113	2631.00	30697.40
	"Ouray County, CO"	"08091"	16858.75	120530	3215.00	29611.10
	"Park County, CO"	"08093"	17155.41	397749	3721.90	28414.30
	"Phillips County, CO"	"08095"	16758.18	180795	2206.70	30018.10
	"Pitkin County, CO"	"08097"	16775.31	229007	3041.10	29978.80
	"Prowers County, CO"	"08099"	17896.93	361590	2232.90	29980.80
	"Pueblo County, CO"	"08101"	18039.87	494173	2671.10	30906.60
	"Rio Blanco County, CO"	"08103"	17157.66	687021	2811.10	30892.50
	"Rio Grande County, CO"	"08105"	18313.66	204901	3887.10	31023.30
	"Routt County, CO"	"08107"	17439.40	470067	3400.70	31009.80
	"Saguache County, CO"	"08109"	17620.36	614703	3770.10	31037.20
	"San Juan County, CO"	"08111"	17073.04	84371	4114.30	29257.50
	"San Miguel County, CO"	"08113"	16986.60	241060	2923.90	31001.00
	"Sedgwick County, CO"	"08115"	16540.10	120530	2093.50	29988.00
	"Summit County, CO"	"08117"	16792.00	108477	3918.80	29684.40
	"Teller County, CO"	"08119"	17055.75	144636	3380.80	28867.00
	"Washington County, CO"	"08121"	17165.86	542385	2304.20	29757.80
	"Weld County, CO"	"08123"	16879.48	843710	2145.00	30109.40
	"Yuma County, CO"	"08125"	17007.43	433908	2074.50	29967.30
	"Fairfield County, CT"	"09001"	15316.04	132583	1693.10	31567.00
	"Hartford County, CT"	"09003"	14602.99	144636	1745.20	29908.50
	"Litchfield County, CT"	"09005"	14603.11	192848	1688.20	29798.20
	"Middlesex County, CT"	"09007"	15113.26	84371	1794.30	30758.20
	"New Haven County, CT"	"09009"	15141.35	132583	1811.30	31408.60
	"New London County, CT"	"09011"	15177.64	168742	1683.10	31866.00
	"Tolland County, CT"	"09013"	14603.96	84371	1768.70	29359.50
	"Windham County, CT"	"09015"	14664.88	132583	1707.80	29639.80
	"Kent County, DE"	"10001"	15809.41	120530	1660.90	31071.70
	"New Castle County, DE"	"10003"	15335.57	84371	1705.00	30665.40
	"Sussex County, DE"	"10005"	15936.01	192848	1645.10	31197.50
	"District of Columbia, DC"	"11001"	15265.36	12053	1772.60	30112.10
	"Alachua County, FL"	"12001"	18028.29	180795	2476.50	33023.10
	"Baker County, FL"	"12003"	17777.25	144636	2213.40	33739.50
	"Bay County, FL"	"12005"	17953.44	192848	2206.20	31734.00
	"Bradford County, FL"	"12007"	17865.16	72318	2436.70	32794.30
	"Brevard County, FL"	"12009"	20368.38	180795	2424.10	39054.60
	"Broward County, FL"	"12011"	19082.85	216954	2627.80	35978.50
	"Calhoun County, FL"	"12013"	17609.41	108477	2306.00	31249.60
	"Charlotte County, FL"	"12015"	19327.28	108477	2539.00	34789.10
	"Citrus County, FL"	"12017"	18340.82	96424	2461.80	31911.80
	"Clay County, FL"	"12019"	18033.74	120530	2486.50	34353.70
	"Collier County, FL"	"12021"	19369.97	385696	2655.30	38818.90
	"Columbia County, FL"	"12023"	17817.18	132583	2232.60	33586.50
	"Dade County, FL"	"12025"	19744.21	373643	2745.30	36623.50
	"DeSoto County, FL"	"12027"	18780.27	132583	2472.20	34350.00
	"Dixie County, FL"	"12029"	19718.03	132583	2408.50	34949.00
	"Duval County, FL"	"12031"	18463.58	120530	2411.40	35419.00
	"Escambia County, FL"	"12033"	17640.27	108477	1984.90	31863.30
	"Flagler County, FL"	"12035"	18848.00	96424	2512.40	35840.30
	"Franklin County, FL"	"12037"	19847.26	84371	2542.60	35122.30
	"Gadsden County, FL"	"12039"	17673.29	120530	2589.40	32099.40
	"Gilchrist County, FL"	"12041"	17930.12	60265	2427.00	31749.20
	"Glades County, FL"	"12043"	19359.51	192848	2638.30	35598.70
	"Gulf County, FL"	"12045"	18811.22	108477	2267.20	34215.10
	"Hamilton County, FL"	"12047"	17795.58	108477	2166.80	33302.50
	"Hardee County, FL"	"12049"	18765.38	84371	2318.50	34629.20
	"Hendry County, FL"	"12051"	18800.73	216954	2626.70	35432.20
	"Hernando County, FL"	"12053"	18367.57	108477	2523.80	31768.50
	"Highlands County, FL"	"12055"	18906.14	192848	2555.00	34695.10
	"Hillsborough County, FL"	"12057"	18605.51	192848	2251.70	33542.80
	"Holmes County, FL"	"12059"	17548.85	84371	2284.50	32586.30
	"Indian River County, FL"	"12061"	19272.50	120530	2711.70	37459.60
	"Jackson County, FL"	"12063"	17586.08	156689	2332.70	32892.30
	"Jefferson County, FL"	"12065"	17824.12	120530	2436.00	32801.80
	"Lafayette County, FL"	"12067"	18491.22	96424	2371.00	35291.30
	"Lake County, FL"	"12069"	18342.91	253113	2491.90	34026.80
	"Lee County, FL"	"12071"	19210.16	84371	2576.10	35349.10
	"Leon County, FL"	"12073"	17718.28	144636	2428.40	32060.50
	"Levy County, FL"	"12075"	18244.95	241060	2343.00	33736.60
	"Liberty County, FL"	"12077"	17736.86	156689	2388.30	31645.50
	"Madison County, FL"	"12079"	17717.17	132583	2362.20	32746.90
	"Manatee County, FL"	"12081"	18746.69	144636	2268.40	33504.70
	"Marion County, FL"	"12083"	18094.00	289272	2445.90	33281.30
	"Martin County, FL"	"12085"	19130.36	96424	2621.80	35341.20
	"Monroe County, FL"	"12087"	20491.34	144636	2808.70	38315.10
	"Nassau County, FL"	"12089"	18216.73	108477	1995.70	36936.30
	"Okaloosa County, FL"	"12091"	17665.04	156689	2085.40	32578.00
	"Okeechobee County, FL"	"12093"	18779.05	168742	2738.70	34218.40
	"Orange County, FL"	"12095"	18745.97	156689	2366.70	38744.60
	"Osceola County, FL"	"12097"	18921.23	289272	2324.50	38892.00
	"Palm Beach County, FL"	"12099"	19069.18	385696	2576.10	36913.00
	"Pasco County, FL"	"12101"	18425.08	156689	2340.80	33117.00
	"Pinellas County, FL"	"12103"	19453.14	48212	2242.70	32981.00
	"Polk County, FL"	"12105"	18659.15	373643	2292.00	35035.20
	"Putnam County, FL"	"12107"	18066.92	144636	2556.40	33603.50
	"St. Johns County, FL"	"12109"	18931.14	120530	2566.30	36481.30
	"St. Lucie County, FL"	"12111"	19546.53	72318	2725.70	35852.50
	"Santa Rosa County, FL"	"12113"	17671.46	216954	2075.90	32435.40
	"Sarasota County, FL"	"12115"	18935.84	108477	2321.00	33375.90
	"Seminole County, FL"	"12117"	18351.04	60265	2665.90	34344.40
	"Sumter County, FL"	"12119"	18426.74	72318	2485.20	32925.70
	"Suwannee County, FL"	"12121"	17796.73	132583	2243.80	32684.90
	"Taylor County, FL"	"12123"	18733.48	204901	2360.00	33961.70
	"Union County, FL"	"12125"	17845.40	36159	2319.30	32552.00
	"Volusia County, FL"	"12127"	18750.74	216954	2547.10	38455.90
	"Wakulla County, FL"	"12129"	18517.90	72318	2633.80	33465.50
	"Walton County, FL"	"12131"	17656.15	192848	2144.90	32173.10
	"Washington County, FL"	"12133"	17556.85	108477	2234.90	32029.00
	"Appling County, GA"	"13001"	17634.10	96424	1968.60	34305.30
	"Atkinson County, GA"	"13003"	17722.73	72318	1983.20	33804.20
	"Bacon County, GA"	"13005"	17645.68	48212	1920.10	34450.50
	"Baker County, GA"	"13007"	17485.62	60265	2104.70	33247.90
	"Baldwin County, GA"	"13009"	17285.65	48212	2287.60	34094.30
	"Banks County, GA"	"13011"	16799.91	48212	2137.20	32876.00
	"Barrow County, GA"	"13013"	16796.74	24106	2236.90	32705.00
	"Bartow County, GA"	"13015"	16415.48	72318	1934.40	33252.40
	"Ben Hill County, GA"	"13017"	17617.57	72318	2109.10	34461.50
	"Berrien County, GA"	"13019"	17708.40	108477	2123.50	33788.90
	"Bibb County, GA"	"13021"	17247.13	48212	2341.80	33815.60
	"Bleckley County, GA"	"13023"	17445.74	48212	2254.40	34684.20
	"Brantley County, GA"	"13025"	17877.94	96424	1702.90	34332.80
	"Brooks County, GA"	"13027"	17760.96	120530	2303.80	33242.10
	"Bryan County, GA"	"13029"	18074.05	72318	2111.20	35130.40
	"Bulloch County, GA"	"13031"	17593.00	132583	2268.20	35147.80
	"Burke County, GA"	"13033"	17530.94	168742	2273.00	35202.40
	"Butts County, GA"	"13035"	17077.03	36159	2241.90	33386.80
	"Calhoun County, GA"	"13037"	17489.79	48212	2208.90	33343.10
	"Camden County, GA"	"13039"	18698.75	132583	1728.20	37233.60
	"Candler County, GA"	"13043"	17532.11	48212	2101.90	34799.40
	"Carroll County, GA"	"13045"	16686.99	96424	2117.20	32791.20
	"Catoosa County, GA"	"13047"	16236.66	48212	2063.80	32179.70
	"Charlton County, GA"	"13049"	17776.93	144636	1808.50	34361.70
	"Chatham County, GA"	"13051"	18627.15	84371	2025.10	36525.80
	"Chattahoochee County, GA"	"13053"	17235.81	48212	2297.70	33651.90
	"Chattooga County, GA"	"13055"	16247.75	84371	2047.60	32580.50
	"Cherokee County, GA"	"13057"	16487.17	60265	1958.30	33160.50
	"Clarke County, GA"	"13059"	16961.29	24106	2360.00	32905.10
	"Clay County, GA"	"13061"	17372.38	36159	2220.40	33062.00
	"Clayton County, GA"	"13063"	16906.07	36159	2222.90	33219.60
	"Clinch County, GA"	"13065"	17816.78	156689	1959.50	33820.00
	"Cobb County, GA"	"13067"	16523.78	96424	2038.60	33156.80
	"Coffee County, GA"	"13069"	17649.60	96424	1979.40	34425.60
	"Colquitt County, GA"	"13071"	17634.62	132583	2039.20	33494.40
	"Columbia County, GA"	"13073"	17301.74	60265	2340.40	34684.60
