Notes,County,County Code,Avg Daily Sunlight (KJ/mｲ),# of Observations for Daily Sunlight,Min Daily Sunlight,Max Daily Sunlight
,"Arkansas County, AR",5001,16795.99,241060,1886.1,34166.7
,"Ashley County, AR",5003,16973.11,168742,1778.3,34326.3
,"Baxter County, AR",5005,16232.29,120530,1836.2,30189.8
,"Benton County, AR",5007,16196.16,156689,1526.8,30053.7
,"Boone County, AR",5009,16162.88,108477,1594.3,29708
,"Bradley County, AR",5011,16928.46,144636,1881.9,33273.1
,"Calhoun County, AR",5013,16908.51,96424,1880,32790.2
,"Carroll County, AR",5015,16149.25,156689,1582.1,29520.5
,"Chicot County, AR",5017,17064.76,156689,1599.4,34767.3
,"Clark County, AR",5019,16640.66,168742,1806.7,31701.3
,"Clay County, AR",5021,16141.5,132583,1699.2,32032.4
,"Cleburne County, AR",5023,16272.75,132583,1977,30613.3
,"Cleveland County, AR",5025,16798.57,120530,2022.7,33085.4
,"Columbia County, AR",5027,16994.31,156689,1916.5,32375.7
,"Conway County, AR",5029,16303.8,108477,1835.3,30645.8
,"Craighead County, AR",5031,16306.32,132583,1706.3,31993.1
,"Crawford County, AR",5033,16320.97,120530,1605.7,30710.8
,"Crittenden County, AR",5035,16413.53,144636,1650.5,33434.4
,"Cross County, AR",5037,16482.93,144636,1749.7,33044.4
,"Dallas County, AR",5039,16765.77,108477,1905.1,32420.9
,"Desha County, AR",5041,16932.02,180795,1527,34811.6
,"Drew County, AR",5043,16915.15,144636,2011,34301.9
,"Faulkner County, AR",5045,16377.75,132583,1966.6,31303.9
,"Franklin County, AR",5047,16350.74,108477,1671,30794.8
,"Fulton County, AR",5049,16205.99,108477,1858.4,30127.8
,"Garland County, AR",5051,16403.04,132583,1822.9,31190.3
,"Grant County, AR",5053,16656.02,108477,1987.4,32177.9
,"Greene County, AR",5055,16246.64,120530,1726.2,32147.4
,"Hempstead County, AR",5057,16685.9,144636,1855.7,31732.5
,"Hot Spring County, AR",5059,16568.21,144636,1942.6,31607.1
,"Howard County, AR",5061,16446.59,108477,1821.5,31398.8
,"Independence County, AR",5063,16330.06,144636,1833.4,31616.9
,"Izard County, AR",5065,16222.68,132583,1836.9,30245.5
,"Jackson County, AR",5067,16462.47,120530,1784.2,32517.8
,"Jefferson County, AR",5069,16702.71,168742,1913.4,33505.1
,"Johnson County, AR",5071,16294.07,156689,1710.3,30498.3
,"Lafayette County, AR",5073,16940.63,120530,1851.6,32297.4
,"Lawrence County, AR",5075,16304.83,120530,1781.8,31649.1
,"Lee County, AR",5077,16566.51,96424,1644.1,33589.3
,"Lincoln County, AR",5079,16804.55,144636,1990.8,33998.8
,"Little River County, AR",5081,16716.84,84371,1850.6,31520.8
,"Logan County, AR",5083,16385.3,144636,1738.1,30591.3
,"Lonoke County, AR",5085,16617.26,156689,1846.9,33058.1
,"Madison County, AR",5087,16140.72,180795,1554.1,29353.4
,"Marion County, AR",5089,16205.13,108477,1751.9,29898.7
,"Miller County, AR",5091,16885.04,120530,1850.1,32137.7
,"Mississippi County, AR",5093,16243.83,180795,1657.2,32478.3
,"Monroe County, AR",5095,16634.2,108477,1788.8,33834.9
,"Montgomery County, AR",5097,16350.67,144636,1752.1,30357.8
,"Nevada County, AR",5099,16810.39,120530,1953.4,31889.1
,"Newton County, AR",5101,16203.37,156689,1731.2,29331.6
,"Ouachita County, AR",5103,16859.07,168742,1925.8,32413.3
,"Perry County, AR",5105,16425.38,132583,1777.8,30580.2
,"Phillips County, AR",5107,16711.87,132583,1669.1,34180.4
,"Pike County, AR",5109,16489.43,120530,1785.4,30911.9
,"Poinsett County, AR",5111,16410.84,144636,1721.2,32288.3
,"Polk County, AR",5113,16190.42,204901,1787.8,29860.8
,"Pope County, AR",5115,16266.4,180795,1673.2,30675.8
,"Prairie County, AR",5117,16622.08,132583,1805.6,33161.8
,"Pulaski County, AR",5119,16550.3,120530,1855.3,32467
,"Randolph County, AR",5121,16182.05,132583,1764.5,31790.2
,"St. Francis County, AR",5123,16539.47,132583,1629,33336.9
,"Saline County, AR",5125,16503.48,144636,1850,31944.9
,"Scott County, AR",5127,16395.35,144636,1826.4,30295.4
,"Searcy County, AR",5129,16201.7,156689,1792.3,29868.8
,"Sebastian County, AR",5131,16465.06,84371,1625.2,30695
,"Sevier County, AR",5133,16552.52,132583,1733.8,31393
,"Sharp County, AR",5135,16248.78,120530,1804.7,31014
,"Stone County, AR",5137,16236.48,84371,1843.9,30026.8
,"Union County, AR",5139,16986.02,216954,1759.4,33597.8
,"Van Buren County, AR",5141,16275.59,120530,1882.3,30665.8
,"Washington County, AR",5143,16165.61,192848,1513.6,29506.4
,"White County, AR",5145,16424.91,216954,1847.1,32530.9
,"Woodruff County, AR",5147,16505.67,144636,1784.2,33090.6
,"Yell County, AR",5149,16386.41,204901,1694.3,30321
,"Alameda County, CA",6001,19159.13,132583,1754.7,32770.4
,"Alpine County, CA",6003,18911.65,156689,2926.1,31563
,"Amador County, CA",6005,18777.3,96424,1812.1,32500
,"Butte County, CA",6007,18373.4,373643,1478.9,33626.4
,"Calaveras County, CA",6009,18894.23,216954,1695.9,32580.4
,"Colusa County, CA",6011,18724.46,253113,1611,33436.9
,"Contra Costa County, CA",6013,18949.07,144636,1663.8,32367.6
,"Del Norte County, CA",6015,17308.91,229007,1404.1,35436.5
,"El Dorado County, CA",6017,18700.46,385696,1801.7,32824.4
,"Fresno County, CA",6019,19368.97,1181194,1728.2,33073.4
,"Glenn County, CA",6021,18534.71,241060,1698.8,33619.5
,"Humboldt County, CA",6023,17788.95,807551,1486.2,35071.4
,"Imperial County, CA",6025,20774.77,843710,2457,32252.1
,"Inyo County, CA",6027,19768.63,2181593,2290.6,32670.8
,"Kern County, CA",6029,19911.45,1482519,1930.8,32786.5
,"Kings County, CA",6031,19627.67,313378,1720.1,32722.5
,"Lake County, CA",6033,18842.96,289272,1815.1,33210.5
,"Lassen County, CA",6035,18264.21,952187,2194.2,33424.4
,"Los Angeles County, CA",6037,20247.91,855763,2225.9,33053.1
,"Madera County, CA",6039,19186.09,421855,1721.3,33004.6
,"Marin County, CA",6041,18309.92,108477,1707.6,32041.9
,"Mariposa County, CA",6043,19139.58,313378,1721.5,32736.3
,"Mendocino County, CA",6045,18535.76,759339,1683,34488
,"Merced County, CA",6047,19468.78,409802,1691.9,33137.7
,"Modoc County, CA",6049,17762.18,1012452,1962,34079.9
,"Mono County, CA",6051,18989.93,614703,3099.2,31248.9
,"Monterey County, CA",6053,19875.9,699074,1629.3,33370.2
,"Napa County, CA",6055,18878.47,132583,1746.5,32669.5
,"Nevada County, CA",6057,18712.17,241060,1899.9,33340.1
,"Orange County, CA",6059,20000.98,156689,2284.6,31572.8
,"Placer County, CA",6061,18647.86,265166,1727.8,33094.9
,"Plumas County, CA",6063,18492.75,542385,2442.7,32901.5
,"Riverside County, CA",6065,20596.16,1506625,2522.9,32818.8
,"Sacramento County, CA",6067,18705.22,216954,1684.6,32536.2
,"San Benito County, CA",6069,19688.6,277219,1953.2,32343.2
,"San Bernardino County, CA",6071,20094.62,3893119,2250.8,33039.5
,"San Diego County, CA",6073,20494.52,759339,2437.6,32304.7
,"San Francisco County, CA",6075,18386,12053,1587.8,31203.9
,"San Joaquin County, CA",6077,19063.39,277219,1568.9,32999
,"San Luis Obispo County, CA",6079,20058.51,626756,2098.9,33445.9
,"San Mateo County, CA",6081,18799.18,96424,1587.8,31927.7
,"Santa Barbara County, CA",6083,20497.85,494173,2278,32856.4
,"Santa Clara County, CA",6085,19330.61,253113,1864.1,32882.8
,"Santa Cruz County, CA",6087,18774.12,96424,1888,31804.9
,"Shasta County, CA",6089,18094.83,735233,1613,33620.2
,"Sierra County, CA",6091,18704.05,204901,2364.9,33182.7
,"Siskiyou County, CA",6093,17864.41,1374042,1810.9,34946.9
,"Solano County, CA",6095,18899.85,156689,1716.3,32592.9
,"Sonoma County, CA",6097,18692.92,337484,1726.5,34424.1
,"Stanislaus County, CA",6099,19306.44,313378,1671.5,33147
,"Sutter County, CA",6101,18594.13,108477,1610.7,33041.7
,"Tehama County, CA",6103,18230.34,650862,1664,33522.1
,"Trinity County, CA",6105,18065.13,626756,1646.5,33418.8
,"Tulare County, CA",6107,19496.77,1000399,1793.8,32785.5
,"Tuolumne County, CA",6109,19114.68,458014,2004.6,33669.7
,"Ventura County, CA",6111,20139.44,373643,2035.1,32208.2
,"Yolo County, CA",6113,18741.92,192848,1703.6,32841.2
,"Yuba County, CA",6115,18512.53,168742,1642.3,32926.6
,"Adams County, CO",8001,17158.32,241060,2422.7,29583.6
,"Alamosa County, CO",8003,18061.38,132583,3867.8,30460
,"Arapahoe County, CO",8005,17301.14,229007,2568.4,29586.8
,"Archuleta County, CO",8007,17866.68,265166,3421,31094.4
,"Baca County, CO",8009,18140.45,542385,2269.5,30429.1
,"Bent County, CO",8011,18072.77,301325,2569.9,30429.3
,"Boulder County, CO",8013,16738.1,180795,2412.5,29058.1
,"Chaffee County, CO",8015,17379.37,204901,4194.5,29029.9
,"Cheyenne County, CO",8017,17547.9,325431,2613.1,30371.1
,"Clear Creek County, CO",8019,16554.1,108477,3589.3,27390.3
,"Conejos County, CO",8021,18322.41,241060,3819.2,29855.7
,"Costilla County, CO",8023,17495.53,253113,3896.7,29704.2
,"Crowley County, CO",8025,18125.47,144636,2594,30973.8
,"Custer County, CO",8027,17446.24,168742,3215.4,29342.5
,"Delta County, CO",8029,17145.1,265166,2556.5,30267
,"Denver County, CO",8031,17102.48,12053,2912.3,28918.6
,"Dolores County, CO",8033,17448.93,204901,3143.3,31064.6
,"Douglas County, CO",8035,17203.79,156689,3010.3,28451.7
,"Eagle County, CO",8037,16734.5,325431,3366,30278.2
,"Elbert County, CO",8039,17483.99,301325,2990.1,30197.4
,"El Paso County, CO",8041,17638.55,458014,2865.8,30441.1
,"Fremont County, CO",8043,17553.09,361590,2794.1,30030.4
,"Garfield County, CO",8045,17140.36,614703,2794.5,31107.8
,"Gilpin County, CO",8047,16515.33,24106,3320.4,27515.3
,"Grand County, CO",8049,16694.03,433908,3280.2,29464.6
,"Gunnison County, CO",8051,17307.54,699074,3139.7,30616.9
,"Hinsdale County, CO",8053,17278.88,229007,3845.5,30486.3
,"Huerfano County, CO",8055,17686.49,337484,2887.8,29856.7
,"Jackson County, CO",8057,16742.06,337484,3213.5,29878.8
,"Jefferson County, CO",8059,16863.52,168742,2820.5,28978.5
,"Kiowa County, CO",8061,17802.76,397749,2374.3,30550.4
,"Kit Carson County, CO",8063,17279.7,530332,2356.6,29996.6
,"Lake County, CO",8065,17260.1,108477,4593.3,29075.6
,"La Plata County, CO",8067,18189.3,337484,3208.8,31438.7
,"Larimer County, CO",8069,16388.27,566491,2342,29157.8
,"Las Animas County, CO",8071,18178.49,903975,2621.1,30619.6
,"Lincoln County, CO",8073,17683.03,590597,2624.9,30628
,"Logan County, CO",8075,16812.79,470067,2096.9,29695.3
,"Mesa County, CO",8077,17315.22,662915,2587.5,30406
,"Mineral County, CO",8079,17502.55,192848,4681.7,29428.7
,"Moffat County, CO",8081,17241.66,976293,2760.4,30945.7
,"Montezuma County, CO",8083,18145.6,385696,3093.2,31479.6
,"Montrose County, CO",8085,17306.47,433908,2808.5,30412.9
,"Morgan County, CO",8087,17183.43,241060,2250,30207.9
,"Otero County, CO",8089,18171.06,253113,2631,30697.4
,"Ouray County, CO",8091,16858.75,120530,3215,29611.1
,"Park County, CO",8093,17155.41,397749,3721.9,28414.3
,"Phillips County, CO",8095,16758.18,180795,2206.7,30018.1
,"Pitkin County, CO",8097,16775.31,229007,3041.1,29978.8
,"Prowers County, CO",8099,17896.93,361590,2232.9,29980.8
,"Pueblo County, CO",8101,18039.87,494173,2671.1,30906.6
,"Rio Blanco County, CO",8103,17157.66,687021,2811.1,30892.5
,"Rio Grande County, CO",8105,18313.66,204901,3887.1,31023.3
,"Routt County, CO",8107,17439.4,470067,3400.7,31009.8
,"Saguache County, CO",8109,17620.36,614703,3770.1,31037.2
,"San Juan County, CO",8111,17073.04,84371,4114.3,29257.5
,"San Miguel County, CO",8113,16986.6,241060,2923.9,31001
,"Sedgwick County, CO",8115,16540.1,120530,2093.5,29988
,"Summit County, CO",8117,16792,108477,3918.8,29684.4
,"Teller County, CO",8119,17055.75,144636,3380.8,28867
,"Washington County, CO",8121,17165.86,542385,2304.2,29757.8
,"Weld County, CO",8123,16879.48,843710,2145,30109.4
,"Yuma County, CO",8125,17007.43,433908,2074.5,29967.3
,"Fairfield County, CT",9001,15316.04,132583,1693.1,31567
,"Hartford County, CT",9003,14602.99,144636,1745.2,29908.5
,"Litchfield County, CT",9005,14603.11,192848,1688.2,29798.2
,"Middlesex County, CT",9007,15113.26,84371,1794.3,30758.2
,"New Haven County, CT",9009,15141.35,132583,1811.3,31408.6
,"New London County, CT",9011,15177.64,168742,1683.1,31866
,"Tolland County, CT",9013,14603.96,84371,1768.7,29359.5
,"Windham County, CT",9015,14664.88,132583,1707.8,29639.8
,"Kent County, DE",10001,15809.41,120530,1660.9,31071.7
,"New Castle County, DE",10003,15335.57,84371,1705,30665.4
,"Sussex County, DE",10005,15936.01,192848,1645.1,31197.5
,"District of Columbia, DC",11001,15265.36,12053,1772.6,30112.1
,"Alachua County, FL",12001,18028.29,180795,2476.5,33023.1
,"Baker County, FL",12003,17777.25,144636,2213.4,33739.5
,"Bay County, FL",12005,17953.44,192848,2206.2,31734
,"Bradford County, FL",12007,17865.16,72318,2436.7,32794.3
,"Brevard County, FL",12009,20368.38,180795,2424.1,39054.6
,"Broward County, FL",12011,19082.85,216954,2627.8,35978.5
,"Calhoun County, FL",12013,17609.41,108477,2306,31249.6
,"Charlotte County, FL",12015,19327.28,108477,2539,34789.1
,"Citrus County, FL",12017,18340.82,96424,2461.8,31911.8
,"Clay County, FL",12019,18033.74,120530,2486.5,34353.7
,"Collier County, FL",12021,19369.97,385696,2655.3,38818.9
,"Columbia County, FL",12023,17817.18,132583,2232.6,33586.5
,"Dade County, FL",12025,19744.21,373643,2745.3,36623.5
,"DeSoto County, FL",12027,18780.27,132583,2472.2,34350
,"Dixie County, FL",12029,19718.03,132583,2408.5,34949
,"Duval County, FL",12031,18463.58,120530,2411.4,35419
,"Escambia County, FL",12033,17640.27,108477,1984.9,31863.3
,"Flagler County, FL",12035,18848,96424,2512.4,35840.3
,"Franklin County, FL",12037,19847.26,84371,2542.6,35122.3
,"Gadsden County, FL",12039,17673.29,120530,2589.4,32099.4
,"Gilchrist County, FL",12041,17930.12,60265,2427,31749.2
,"Glades County, FL",12043,19359.51,192848,2638.3,35598.7
,"Gulf County, FL",12045,18811.22,108477,2267.2,34215.1
,"Hamilton County, FL",12047,17795.58,108477,2166.8,33302.5
,"Hardee County, FL",12049,18765.38,84371,2318.5,34629.2
,"Hendry County, FL",12051,18800.73,216954,2626.7,35432.2
,"Hernando County, FL",12053,18367.57,108477,2523.8,31768.5
,"Highlands County, FL",12055,18906.14,192848,2555,34695.1
,"Hillsborough County, FL",12057,18605.51,192848,2251.7,33542.8
,"Holmes County, FL",12059,17548.85,84371,2284.5,32586.3
,"Indian River County, FL",12061,19272.5,120530,2711.7,37459.6
,"Jackson County, FL",12063,17586.08,156689,2332.7,32892.3
,"Jefferson County, FL",12065,17824.12,120530,2436,32801.8
,"Lafayette County, FL",12067,18491.22,96424,2371,35291.3
,"Lake County, FL",12069,18342.91,253113,2491.9,34026.8
,"Lee County, FL",12071,19210.16,84371,2576.1,35349.1
,"Leon County, FL",12073,17718.28,144636,2428.4,32060.5
,"Levy County, FL",12075,18244.95,241060,2343,33736.6
,"Liberty County, FL",12077,17736.86,156689,2388.3,31645.5
,"Madison County, FL",12079,17717.17,132583,2362.2,32746.9
,"Manatee County, FL",12081,18746.69,144636,2268.4,33504.7
,"Marion County, FL",12083,18094,289272,2445.9,33281.3
,"Martin County, FL",12085,19130.36,96424,2621.8,35341.2
,"Monroe County, FL",12087,20491.34,144636,2808.7,38315.1
,"Nassau County, FL",12089,18216.73,108477,1995.7,36936.3
,"Okaloosa County, FL",12091,17665.04,156689,2085.4,32578
,"Okeechobee County, FL",12093,18779.05,168742,2738.7,34218.4
,"Orange County, FL",12095,18745.97,156689,2366.7,38744.6
,"Osceola County, FL",12097,18921.23,289272,2324.5,38892
,"Palm Beach County, FL",12099,19069.18,385696,2576.1,36913
,"Pasco County, FL",12101,18425.08,156689,2340.8,33117
,"Pinellas County, FL",12103,19453.14,48212,2242.7,32981
,"Polk County, FL",12105,18659.15,373643,2292,35035.2
,"Putnam County, FL",12107,18066.92,144636,2556.4,33603.5
,"St. Johns County, FL",12109,18931.14,120530,2566.3,36481.3
,"St. Lucie County, FL",12111,19546.53,72318,2725.7,35852.5
,"Santa Rosa County, FL",12113,17671.46,216954,2075.9,32435.4
,"Sarasota County, FL",12115,18935.84,108477,2321,33375.9
,"Seminole County, FL",12117,18351.04,60265,2665.9,34344.4
,"Sumter County, FL",12119,18426.74,72318,2485.2,32925.7
,"Suwannee County, FL",12121,17796.73,132583,2243.8,32684.9
,"Taylor County, FL",12123,18733.48,204901,2360,33961.7
,"Union County, FL",12125,17845.4,36159,2319.3,32552
,"Volusia County, FL",12127,18750.74,216954,2547.1,38455.9
,"Wakulla County, FL",12129,18517.9,72318,2633.8,33465.5
,"Walton County, FL",12131,17656.15,192848,2144.9,32173.1
,"Washington County, FL",12133,17556.85,108477,2234.9,32029
,"Appling County, GA",13001,17634.1,96424,1968.6,34305.3
,"Atkinson County, GA",13003,17722.73,72318,1983.2,33804.2
,"Bacon County, GA",13005,17645.68,48212,1920.1,34450.5
,"Baker County, GA",13007,17485.62,60265,2104.7,33247.9
,"Baldwin County, GA",13009,17285.65,48212,2287.6,34094.3
,"Banks County, GA",13011,16799.91,48212,2137.2,32876
,"Barrow County, GA",13013,16796.74,24106,2236.9,32705
,"Bartow County, GA",13015,16415.48,72318,1934.4,33252.4
,"Ben Hill County, GA",13017,17617.57,72318,2109.1,34461.5
,"Berrien County, GA",13019,17708.4,108477,2123.5,33788.9
,"Bibb County, GA",13021,17247.13,48212,2341.8,33815.6
,"Bleckley County, GA",13023,17445.74,48212,2254.4,34684.2
,"Brantley County, GA",13025,17877.94,96424,1702.9,34332.8
,"Brooks County, GA",13027,17760.96,120530,2303.8,33242.1
,"Bryan County, GA",13029,18074.05,72318,2111.2,35130.4
,"Bulloch County, GA",13031,17593,132583,2268.2,35147.8
,"Burke County, GA",13033,17530.94,168742,2273,35202.4
,"Butts County, GA",13035,17077.03,36159,2241.9,33386.8
,"Calhoun County, GA",13037,17489.79,48212,2208.9,33343.1
,"Camden County, GA",13039,18698.75,132583,1728.2,37233.6
,"Candler County, GA",13043,17532.11,48212,2101.9,34799.4
,"Carroll County, GA",13045,16686.99,96424,2117.2,32791.2
,"Catoosa County, GA",13047,16236.66,48212,2063.8,32179.7
,"Charlton County, GA",13049,17776.93,144636,1808.5,34361.7
,"Chatham County, GA",13051,18627.15,84371,2025.1,36525.8
,"Chattahoochee County, GA",13053,17235.81,48212,2297.7,33651.9
,"Chattooga County, GA",13055,16247.75,84371,2047.6,32580.5
,"Cherokee County, GA",13057,16487.17,60265,1958.3,33160.5
,"Clarke County, GA",13059,16961.29,24106,2360,32905.1
,"Clay County, GA",13061,17372.38,36159,2220.4,33062
,"Clayton County, GA",13063,16906.07,36159,2222.9,33219.6
,"Clinch County, GA",13065,17816.78,156689,1959.5,33820
,"Cobb County, GA",13067,16523.78,96424,2038.6,33156.8
,"Coffee County, GA",13069,17649.6,96424,1979.4,34425.6
,"Colquitt County, GA",13071,17634.62,132583,2039.2,33494.4
,"Columbia County, GA",13073,17301.74,60265,2340.4,34684.6
,"Cook County, GA",13075,17727.04,48212,2194.2,33641.4
,"Coweta County, GA",13077,16851.92,84371,2216.4,33017.4
,"Crawford County, GA",13079,17132.48,84371,2252.1,33714.6
,"Crisp County, GA",13081,17479.36,48212,2087.3,34621.1
,"Dade County, GA",13083,16104.72,36159,2011.4,31709.4
,"Dawson County, GA",13085,16547.06,36159,2046,31714.4
,"Decatur County, GA",13087,17615.63,108477,2257.8,32898.2
,"DeKalb County, GA",13089,16781.81,60265,2176.6,33212.5
,"Dodge County, GA",13091,17571.93,72318,2074.3,34898.7
,"Dooly County, GA",13093,17391.91,72318,2087.4,34681.4
,"Dougherty County, GA",13095,17479.8,60265,2090.3,33593.5
,"Douglas County, GA",13097,16667.6,24106,2206.4,32932.3
,"Early County, GA",13099,17461.79,108477,2325.6,33094.8
,"Echols County, GA",13101,17792.51,72318,2138.9,33217.7
,"Effingham County, GA",13103,17748.53,96424,2207.9,35780.7
,"Elbert County, GA",13105,17132.01,72318,2183.5,33200.7
,"Emanuel County, GA",13107,17534.67,132583,2108.3,35092.7
,"Evans County, GA",13109,17616.56,36159,2266.3,34405.1
,"Fannin County, GA",13111,16042.46,84371,2047.4,31999.6
,"Fayette County, GA",13113,16906.87,36159,2205.8,32998.9
,"Floyd County, GA",13115,16325.03,84371,2009.4,32965.8
,"Forsyth County, GA",13117,16665.36,48212,2144.3,32449.9
,"Franklin County, GA",13119,16847.47,48212,2151.6,32634.2
,"Fulton County, GA",13121,16706.37,108477,2102.6,33142.7
,"Gilmer County, GA",13123,16113.6,84371,1957,31888.9
,"Glascock County, GA",13125,17350.34,24106,2352.4,34259.6
,"Glynn County, GA",13127,18682.12,72318,1859.9,35179.3
,"Gordon County, GA",13129,16326.82,96424,1935.9,33393
,"Grady County, GA",13131,17622.07,84371,2306.6,32722.6
,"Greene County, GA",13133,17208.18,84371,2182.3,33567.4
,"Gwinnett County, GA",13135,16745.94,84371,2254.8,33099.6
,"Habersham County, GA",13137,16807.61,48212,2145.5,32460.8
,"Hall County, GA",13139,16735.74,84371,2098.9,32977.8
,"Hancock County, GA",13141,17279.53,84371,2299.3,34597.7
,"Haralson County, GA",13143,16513.57,60265,2015.5,32310.8
,"Harris County, GA",13145,17114.34,84371,2258.4,32997
,"Hart County, GA",13147,16991.17,60265,2184.6,32906.9
,"Heard County, GA",13149,16887.8,48212,2232.3,32845.7
,"Henry County, GA",13151,17031.29,36159,2226.4,33285.1
,"Houston County, GA",13153,17337.9,72318,2171.6,34375
,"Irwin County, GA",13155,17661.39,60265,2079.7,34130.9
,"Jackson County, GA",13157,16856.54,72318,2231.4,32943.8
,"Jasper County, GA",13159,17143.95,108477,2188.4,33672
,"Jeff Davis County, GA",13161,17588.94,96424,1959.5,34534.2
